case_id,activity_id,timestamp
16969436,502,2019-12-27 01:00:00.000
16969436,302,2019-12-30
16969436,253,2019-12-30 17:01:00.000
16969436,503,2019-12-30 19:00:00.000
16969436,109,2019-12-31 13:08:53.827
16969436,136,2019-12-31 13:09:59.387
16981611,502,2019-12-02 01:00:00.000
16981611,302,2019-12-05
16981611,222,2019-12-05 08:50:00.000
16981611,503,2019-12-05 19:00:00.000
16981611,136,2019-12-06 11:16:06.330
16981611,109,2019-12-07 06:32:07.097
16982614,502,2019-12-02 01:00:00.000
16982614,302,2019-12-03
16982614,253,2019-12-06 10:32:00.000
16982614,131,2019-12-07 07:03:19.647
16982614,503,2019-12-09 19:00:00.000
16982614,222,2019-12-10 10:44:00.000
16982614,109,2019-12-11 06:41:47.373
16982614,136,2019-12-11 06:42:18.430
16983477,502,2019-11-21 01:00:00.000
16983477,400,2019-11-28 04:00:01.240
16983477,207,2019-12-09 10:24:00.000
16983477,302,2019-12-18
16983477,253,2019-12-18 14:49:00.000
16983477,503,2019-12-18 19:00:00.000
16983477,136,2019-12-19 03:42:10.780
16983477,109,2019-12-19 03:52:05.100
16983477,253,2019-12-24 13:57:00.000
